SWI,INTERSECT,ACCOMM,EDU,IMD2019Ind,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,DENSITY_R,DEN_0_17,DEN_18_64,DEN_65
14.0,26.0,0.0,7.0,29199.0,2.0,6.0,9.0,127.0,8.0,26.0,0.175077100735223,2061.937640615131,6823.139101671888,3381.577730608815
16.0,41.0,0.0,7.0,30379.0,3.0,14.0,8.0,224.0,10.0,31.0,0.16514506703195,1153.47234404164,4092.396132500225,1639.6101135611054
13.0,56.0,5.0,6.0,8678.0,1.0,37.0,15.0,278.0,19.0,4.0,0.221291984686098,2248.3515680131945,6634.995536374601,1011.4961599686399
36.0,31.0,0.0,13.0,7256.0,1.0,9.0,9.0,73.0,1.0,0.0,0.17741962818229,3981.118900370032,8179.206257921194,464.2115828061381
23.0,21.0,2.0,1.0,5010.0,1.0,8.0,1.0,51.0,0.0,3.0,0.108543122619639,2884.0866669860843,5106.590729358873,263.5993190256099
8.0,24.0,1.0,0.0,6736.0,0.0,14.0,6.0,45.0,3.0,1.0,0.202249659968819,3521.890149847157,10239.137587966237,1236.1601188205252
20.0,61.0,4.0,6.0,6900.0,5.0,107.0,15.0,110.0,21.0,0.0,0.152625650822044,2969.0074741037834,6986.911411066625,300.91291967268074
1.0,4.0,0.0,0.0,7698.0,0.0,2.0,1.0,9.0,2.0,0.0,0.139220766400956,5192.632549503876,12278.527713005968,1638.6132565598587
1.0,20.0,1.0,2.0,5990.0,0.0,2.0,1.0,15.0,0.0,1.0,0.133515678140577,5912.128617550441,10071.987789417257,705.1816061897514
8.0,25.0,0.0,1.0,4573.0,0.0,21.0,11.0,43.0,1.0,1.0,0.144638478111346,2544.589408227376,5501.296875037718,843.4043989604862
1.0,19.0,0.0,2.0,5650.0,0.0,1.0,1.0,5.0,0.0,1.0,0.102393882987596,1334.2749793947964,3059.427871255469,487.86265766417665
5.0,22.0,0.0,1.0,6405.0,0.0,2.0,1.0,10.0,4.0,2.0,0.114359641949605,2713.645048138229,5420.148925097146,621.2818926000682
11.0,17.0,0.0,1.0,6739.0,1.0,7.0,3.0,32.0,0.0,0.0,0.149444857647482,2574.1881046202807,5377.759307672071,835.9739587281704
5.0,20.0,0.0,1.0,4570.0,0.0,0.0,3.0,1.0,0.0,0.0,0.163476798445457,2791.7828736894744,5844.712474984645,926.4491050773534
3.0,19.0,0.0,6.0,6410.0,0.0,2.0,2.0,11.0,0.0,0.0,0.150961359937079,2787.8396038322635,5058.80164797965,747.8228523100352
4.0,25.0,0.0,2.0,4611.0,0.0,19.0,4.0,40.0,2.0,0.0,0.159990246770642,3174.0098545536025,6172.982400951675,898.5248485317184
