code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01000001,City of London 001A,City of London,0.0,7.0,28.0,2.0,6.0,9.0,127.0,8.0,26.0,14.0,12.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.6311423,0.07786319,0.55120957,0.067233905,0.0010875654,0.55255973,1.0,1.1498192e-12,6.9598536e-05,0.0,2.1853548e-06,0.42117390000000005,1.0457794e-08
E01000002,City of London 001B,City of London,0.0,7.0,40.0,3.0,14.0,8.0,224.0,10.0,31.0,16.0,10.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.51382136,0.0,6.7544734e-11,1.691999e-10,0.00020526935000000001,1.0,0.031010903,2.2804037000000003e-15,0.00018639353,8.427323e-17,0.00028894527000000004,0.27466595,0.00047035866999999996
E01000005,City of London 001E,City of London,5.0,6.0,82.0,1.0,37.0,15.0,278.0,19.0,4.0,13.0,9.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,0.5643892,1.5515058e-14,0.0002812431,9.424263999999998e-30,5.751104000000001e-23,2.6371820000000003e-17,0.48617712,0.70903254,1.0,2.3275057999999997e-28,9.181541e-14,0.0,1.7976523e-18
E01000007,Barking and Dagenham 015A,Barking and Dagenham,0.0,13.0,10.0,1.0,9.0,9.0,73.0,1.0,0.0,36.0,16.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.48857734,0.027661247000000003,0.31090176,0.0,2.0154386000000001e-10,2.8142545e-05,0.50013244,0.4117179,0.058910992,0.0010209017,8.521424e-08,0.8565082,1.0
E01000008,Barking and Dagenham 015B,Barking and Dagenham,2.0,1.0,1.0,1.0,8.0,1.0,51.0,0.0,3.0,23.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.7511211,5.1116992999999995e-20,3.5608472e-09,1.0763483e-12,2.6088498e-16,1.6159663000000002e-07,1.0,3.2224282e-06,0.9692453000000001,0.0,5.6123637e-05,0.48220280000000004,0.42629752
E01000009,Barking and Dagenham 016B,Barking and Dagenham,1.0,0.0,21.0,0.0,14.0,6.0,45.0,3.0,1.0,8.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.22088225,8.9672287e-23,4.6564605e-07,4.7932128e-35,6.624119e-29,1.6499088e-17,1.1840738000000001e-32,3.0211096e-13,0.0,8.916693e-30,3.0642108e-29,1.0,1.7848475e-10
E01000010,Barking and Dagenham 015C,Barking and Dagenham,4.0,6.0,34.0,5.0,107.0,15.0,110.0,21.0,0.0,20.0,20.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,0.49035317,0.0023085482,0.00035365036,0.00019133580000000003,0.626777,5.2042809999999996e-05,0.7083283,0.0892608,4.3574766e-12,1.0,0.0,4.8896527e-06,0.835709
E01000011,Barking and Dagenham 016C,Barking and Dagenham,0.0,0.0,2.0,0.0,2.0,1.0,9.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.00019345785,4.2772825e-08,5.508005600000001e-22,1.5161105e-31,1.4017705e-37,3.9140686e-29,1.4028186999999997e-20,2.76514e-40,2.0991175999999999e-19,1.2743931999999997e-32,0.0,4.4425705e-36
E01000012,Barking and Dagenham 015D,Barking and Dagenham,1.0,2.0,2.0,0.0,2.0,1.0,15.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000013,Barking and Dagenham 013A,Barking and Dagenham,0.0,1.0,11.0,0.0,21.0,11.0,43.0,1.0,1.0,8.0,8.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.57289547,3.2146932e-10,5.34058e-15,1.6432238000000001e-12,1.6586831e-05,1.0,0.0,2.9276595e-19,2.7097713e-08,3.6712600000000004e-13,4.151866e-15,4.0462824999999995e-14,0.44579053
