code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01000001,City of London 001A,City of London,0.0,7.0,28.0,2.0,6.0,9.0,127.0,8.0,26.0,14.0,12.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000002,City of London 001B,City of London,0.0,7.0,40.0,3.0,14.0,8.0,224.0,10.0,31.0,16.0,10.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.8486387e-09,8.717365e-20,0.0,0.025762659,2.0651587e-14,1.0,2.3808234e-07,7.6755763e-10
E01000005,City of London 001E,City of London,5.0,6.0,82.0,1.0,37.0,15.0,278.0,19.0,4.0,13.0,9.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,0.01225626,0.00033703086,0.016763484,0.9587119000000001,1.0370836e-05,0.0,1.0,0.0007181528500000001
E01000007,Barking and Dagenham 015A,Barking and Dagenham,0.0,13.0,10.0,1.0,9.0,9.0,73.0,1.0,0.0,36.0,16.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000008,Barking and Dagenham 015B,Barking and Dagenham,2.0,1.0,1.0,1.0,8.0,1.0,51.0,0.0,3.0,23.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0057263128,0.00022940707,5.1348906e-07,1.0,3.023977e-07,3.497431e-07,1.2871952e-07,0.0
E01000009,Barking and Dagenham 016B,Barking and Dagenham,1.0,0.0,21.0,0.0,14.0,6.0,45.0,3.0,1.0,8.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0057277167000000006,0.00011704836,3.9151940000000005e-06,1.0,3.1850100000000003e-07,3.310219e-07,1.0271108e-07,0.0
E01000010,Barking and Dagenham 015C,Barking and Dagenham,4.0,6.0,34.0,5.0,107.0,15.0,110.0,21.0,0.0,20.0,20.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.3369954000000002e-06,2.0114659e-14,0.0,3.2416927e-05,0.084993996,0.29917493,1.0,2.0127157e-08
E01000011,Barking and Dagenham 016C,Barking and Dagenham,0.0,0.0,2.0,0.0,2.0,1.0,9.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000012,Barking and Dagenham 015D,Barking and Dagenham,1.0,2.0,2.0,0.0,2.0,1.0,15.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.1034504600000001e-20,8.958629999999999e-07,0.10582392,0.0,3.436181e-16,8.699282e-15,4.0573587e-20,1.0
E01000013,Barking and Dagenham 013A,Barking and Dagenham,0.0,1.0,11.0,0.0,21.0,11.0,43.0,1.0,1.0,8.0,8.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.07155645,6.9053012e-06,0.0,0.021968635,6.633082e-05,0.12969846,1.0,5.359788e-07
E01000014,Barking and Dagenham 013B,Barking and Dagenham,0.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000015,Barking and Dagenham 009A,Barking and Dagenham,0.0,1.0,0.0,0.0,2.0,1.0,10.0,4.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.064781666,8.362818e-05,0.0,0.07754313,7.0803661999999995e-12,4.1480566e-06,0.010161287,1.0
E01000016,Barking and Dagenham 009B,Barking and Dagenham,0.0,1.0,4.0,1.0,7.0,3.0,32.0,0.0,0.0,11.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.040468298,0.0,1.1079288e-14,2.1510043e-05,4.5337676e-09,0.31122562,1.0,2.147937e-06
E01000017,Barking and Dagenham 009C,Barking and Dagenham,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.8869609999999995e-09,1.0349574e-18,0.0,0.025177527,1.3079293e-13,1.0,2.4314323e-07,9.253963e-10
