code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
E01000001,City of London 001A,City of London,0.0,7.0,28.0,2.0,6.0,9.0,127.0,8.0,26.0,13.0,7.0,127.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.37157035,0.00045204294000000003,3.831756e-06,1.1113788999999998e-06,9.546244e-06,0.0,1.0,6.1022156e-06
E01000002,City of London 001B,City of London,0.0,7.0,40.0,3.0,14.0,8.0,224.0,10.0,31.0,2.0,2.0,224.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000005,City of London 001E,City of London,5.0,6.0,82.0,1.0,37.0,15.0,278.0,19.0,4.0,11.0,7.0,278.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,3.7089578e-07,2.5430585000000002e-05,3.6570864e-06,8.634540000000002e-05,0.0,1.0181577e-06,1.6857214000000001e-07
E01000007,Barking and Dagenham 015A,Barking and Dagenham,0.0,13.0,10.0,1.0,9.0,9.0,73.0,1.0,0.0,23.0,11.0,73.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0010259814,1.0,4.762906e-05,0.009610042,0.0,2.6470752000000003e-06,0.19178836,8.039154400000001e-08
E01000008,Barking and Dagenham 015B,Barking and Dagenham,2.0,1.0,1.0,1.0,8.0,1.0,51.0,0.0,3.0,6.0,6.0,51.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.29241416,0.0005186276400000001,3.151772e-06,7.845980999999999e-05,0.0,8.645083699999999e-07,6.093531000000001e-07
E01000009,Barking and Dagenham 016B,Barking and Dagenham,1.0,0.0,21.0,0.0,14.0,6.0,45.0,3.0,1.0,15.0,13.0,45.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.8650645,0.47764328,0.5139062,1.0,0.71016383,0.982648,0.0,0.00021353240000000003
E01000010,Barking and Dagenham 015C,Barking and Dagenham,4.0,6.0,34.0,5.0,107.0,15.0,110.0,21.0,0.0,32.0,28.0,110.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,6.937289999999999e-08,1.6179347e-07,0.0,0.016775407,0.07446854,1.0,0.06037082,0.04369053
E01000011,Barking and Dagenham 016C,Barking and Dagenham,0.0,0.0,2.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000012,Barking and Dagenham 015D,Barking and Dagenham,1.0,2.0,2.0,0.0,2.0,1.0,15.0,0.0,1.0,4.0,2.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000013,Barking and Dagenham 013A,Barking and Dagenham,0.0,1.0,11.0,0.0,21.0,11.0,43.0,1.0,1.0,11.0,11.0,43.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.23128076,5.517743000000001e-06,0.00011704945,1.0,0.00608104,9.73341e-05,0.0,5.187975e-07
E01000014,Barking and Dagenham 013B,Barking and Dagenham,0.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000015,Barking and Dagenham 009A,Barking and Dagenham,0.0,1.0,0.0,0.0,2.0,1.0,10.0,4.0,2.0,3.0,3.0,10.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000016,Barking and Dagenham 009B,Barking and Dagenham,0.0,1.0,4.0,1.0,7.0,3.0,32.0,0.0,0.0,3.0,1.0,32.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000017,Barking and Dagenham 009C,Barking and Dagenham,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000019,Barking and Dagenham 023A,Barking and Dagenham,0.0,6.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000021,Barking and Dagenham 008A,Barking and Dagenham,0.0,2.0,9.0,0.0,19.0,4.0,40.0,2.0,0.0,6.0,6.0,40.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.00036920443999999996,0.0,0.48874593,1.0,0.0040140385,1.8219002e-06,4.0784334e-07,1.110583e-07
E01000023,Barking and Dagenham 008C,Barking and Dagenham,0.0,0.0,3.0,0.0,9.0,3.0,22.0,0.0,0.0,6.0,6.0,22.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.00054264,2.180147e-06,0.0,0.00026340465,4.09259e-06,0.009908977,1.0,7.673437e-05
E01000024,Barking and Dagenham 008D,Barking and Dagenham,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.255351e-08,2.4554748e-07,0.0,0.018227423,0.0036694193,1.0,9.072996399999999e-07,0.0011917001
E01000025,Barking and Dagenham 008E,Barking and Dagenham,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7089637e-07,2.5430549e-05,3.6571012000000002e-06,8.634530000000001e-05,0.0,1.01816e-06,1.6856934e-07
