SWI,WORK,ATTRACT,EDU,FOOD,SHOP,TRANSPORT,ACCOMM,PARK,ENTERTAIN,WORKs,ATTRACTs,EDUs,FOODs,SHOPs,TRANSPORTs,ENTERTAINs,ACCOMMs,PARKs
14.0,127.0,26.0,7.0,28.0,6.0,9.0,0.0,2.0,8.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0
16.0,224.0,31.0,7.0,40.0,14.0,8.0,0.0,3.0,10.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0
13.0,278.0,4.0,6.0,82.0,37.0,15.0,5.0,1.0,19.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0
36.0,73.0,0.0,13.0,10.0,9.0,9.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0
23.0,51.0,3.0,1.0,1.0,8.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
8.0,45.0,1.0,0.0,21.0,14.0,6.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
20.0,110.0,0.0,6.0,34.0,107.0,15.0,4.0,5.0,21.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0
1.0,9.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
1.0,15.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
8.0,43.0,1.0,1.0,11.0,21.0,11.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0
1.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,10.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
11.0,32.0,0.0,1.0,4.0,7.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
5.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
3.0,11.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,40.0,0.0,2.0,9.0,19.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
24.0,22.0,0.0,0.0,3.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,36.0,4.0,6.0,2.0,5.0,12.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0
1.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0
18.0,14.0,2.0,1.0,3.0,7.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
14.0,13.0,2.0,2.0,1.0,4.0,4.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
2.0,48.0,2.0,3.0,11.0,25.0,1.0,0.0,2.0,7.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0
1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,4.0,3.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
16.0,92.0,0.0,3.0,11.0,22.0,9.0,0.0,0.0,6.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0
1.0,27.0,2.0,1.0,5.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
1.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
6.0,10.0,0.0,2.0,2.0,5.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
15.0,9.0,14.0,0.0,0.0,2.0,3.0,0.0,3.0,11.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0
1.0,10.0,0.0,3.0,10.0,13.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
12.0,43.0,2.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
