code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb
E01000001,City of London 001A,City of London,0.0,7.0,28.0,2.0,6.0,9.0,127.0,8.0,26.0,13.0,7.0,127.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0
E01000002,City of London 001B,City of London,0.0,7.0,40.0,3.0,14.0,8.0,224.0,10.0,31.0,2.0,2.0,224.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0
E01000005,City of London 001E,City of London,5.0,6.0,82.0,1.0,37.0,15.0,278.0,19.0,4.0,11.0,7.0,278.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0
E01000007,Barking and Dagenham 015A,Barking and Dagenham,0.0,13.0,10.0,1.0,9.0,9.0,73.0,1.0,0.0,23.0,11.0,73.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
E01000008,Barking and Dagenham 015B,Barking and Dagenham,2.0,1.0,1.0,1.0,8.0,1.0,51.0,0.0,3.0,6.0,6.0,51.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
E01000009,Barking and Dagenham 016B,Barking and Dagenham,1.0,0.0,21.0,0.0,14.0,6.0,45.0,3.0,1.0,15.0,13.0,45.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
E01000010,Barking and Dagenham 015C,Barking and Dagenham,4.0,6.0,34.0,5.0,107.0,15.0,110.0,21.0,0.0,32.0,28.0,110.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0
E01000011,Barking and Dagenham 016C,Barking and Dagenham,0.0,0.0,2.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01000012,Barking and Dagenham 015D,Barking and Dagenham,1.0,2.0,2.0,0.0,2.0,1.0,15.0,0.0,1.0,4.0,2.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
E01000013,Barking and Dagenham 013A,Barking and Dagenham,0.0,1.0,11.0,0.0,21.0,11.0,43.0,1.0,1.0,11.0,11.0,43.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
E01000014,Barking and Dagenham 013B,Barking and Dagenham,0.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000015,Barking and Dagenham 009A,Barking and Dagenham,0.0,1.0,0.0,0.0,2.0,1.0,10.0,4.0,2.0,3.0,3.0,10.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01000016,Barking and Dagenham 009B,Barking and Dagenham,0.0,1.0,4.0,1.0,7.0,3.0,32.0,0.0,0.0,3.0,1.0,32.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
E01000017,Barking and Dagenham 009C,Barking and Dagenham,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01000019,Barking and Dagenham 023A,Barking and Dagenham,0.0,6.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000021,Barking and Dagenham 008A,Barking and Dagenham,0.0,2.0,9.0,0.0,19.0,4.0,40.0,2.0,0.0,6.0,6.0,40.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
E01000023,Barking and Dagenham 008C,Barking and Dagenham,0.0,0.0,3.0,0.0,9.0,3.0,22.0,0.0,0.0,6.0,6.0,22.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01000024,Barking and Dagenham 008D,Barking and Dagenham,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000025,Barking and Dagenham 008E,Barking and Dagenham,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000027,Barking and Dagenham 001A,Barking and Dagenham,0.0,6.0,2.0,0.0,5.0,12.0,36.0,4.0,4.0,4.0,4.0,36.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0
E01000029,Barking and Dagenham 001C,Barking and Dagenham,1.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
E01000030,Barking and Dagenham 001D,Barking and Dagenham,0.0,1.0,3.0,0.0,7.0,6.0,14.0,1.0,2.0,15.0,13.0,14.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01000031,Barking and Dagenham 002A,Barking and Dagenham,0.0,2.0,1.0,0.0,4.0,4.0,13.0,6.0,2.0,16.0,16.0,13.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
E01000032,Barking and Dagenham 002B,Barking and Dagenham,0.0,3.0,11.0,2.0,25.0,1.0,48.0,7.0,2.0,0.0,0.0,48.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0
E01000033,Barking and Dagenham 006A,Barking and Dagenham,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000034,Barking and Dagenham 003A,Barking and Dagenham,0.0,3.0,0.0,1.0,0.0,7.0,4.0,0.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
E01000035,Barking and Dagenham 010A,Barking and Dagenham,0.0,3.0,11.0,0.0,22.0,9.0,92.0,6.0,0.0,10.0,6.0,92.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0
E01000036,Barking and Dagenham 010B,Barking and Dagenham,0.0,1.0,5.0,0.0,8.0,8.0,27.0,1.0,2.0,3.0,3.0,27.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
E01000037,Barking and Dagenham 003B,Barking and Dagenham,0.0,1.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01000038,Barking and Dagenham 003C,Barking and Dagenham,0.0,2.0,2.0,1.0,5.0,3.0,10.0,1.0,0.0,2.0,2.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
E01000039,Barking and Dagenham 003D,Barking and Dagenham,0.0,0.0,0.0,3.0,2.0,3.0,9.0,11.0,14.0,0.0,0.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0
E01000040,Barking and Dagenham 019A,Barking and Dagenham,0.0,3.0,10.0,0.0,13.0,2.0,10.0,1.0,0.0,3.0,3.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000041,Barking and Dagenham 017A,Barking and Dagenham,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000042,Barking and Dagenham 017B,Barking and Dagenham,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01000043,Barking and Dagenham 019B,Barking and Dagenham,0.0,0.0,2.0,0.0,7.0,5.0,43.0,0.0,2.0,7.0,5.0,43.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
E01000044,Barking and Dagenham 016D,Barking and Dagenham,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000045,Barking and Dagenham 017C,Barking and Dagenham,0.0,2.0,6.0,0.0,7.0,6.0,20.0,2.0,0.0,18.0,16.0,20.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
