code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
E01000001,City of London 001A,City of London,0.0,7.0,28.0,2.0,6.0,9.0,127.0,8.0,26.0,13.0,7.0,127.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.22200313,4.8416283e-08,0.7115965,1.0,0.014097537,0.00056503364,3.0014313e-05,3.3119863e-07,6.619344e-06,1.4409473999999999e-10,0.0,6.8452523e-06,1.1942592e-07
E01000002,City of London 001B,City of London,0.0,7.0,40.0,3.0,14.0,8.0,224.0,10.0,31.0,2.0,2.0,224.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,8.155533e-11,0.0,8.471078e-15,7.419878e-10,1.2000662e-12,5.0837065e-16,1.3721903999999999e-05,4.1728902999999995e-08,1.0,0.22141868,7.3742634e-10,1.2452268999999998e-18,4.602278299999999e-13
E01000005,City of London 001E,City of London,5.0,6.0,82.0,1.0,37.0,15.0,278.0,19.0,4.0,11.0,7.0,278.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,0.015980281000000002,0.7898909000000001,6.312573e-05,6.751949e-07,4.3141832e-10,6.7560580000000005e-06,5.9783923e-07,3.619691000000001e-08,8.988782e-06,1.0,1.1577864399999999e-10,4.7500844000000006e-08,0.0
E01000007,Barking and Dagenham 015A,Barking and Dagenham,0.0,13.0,10.0,1.0,9.0,9.0,73.0,1.0,0.0,23.0,11.0,73.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0001004835,1.6085988e-06,2.295741e-12,4.7596426999999996e-07,0.20154747,0.0,0.055325757999999996,0.09187484,8.381514e-06,0.06838296,0.030270895,1.0,0.12890369
E01000008,Barking and Dagenham 015B,Barking and Dagenham,2.0,1.0,1.0,1.0,8.0,1.0,51.0,0.0,3.0,6.0,6.0,51.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.04276772,8.194497999999999e-08,0.6989811,1.0,5.873636999999999e-07,0.0010453858,1.6738699e-05,0.30187604,3.117443e-05,9.170183e-08,0.0,2.083257e-05,0.0021645846
E01000009,Barking and Dagenham 016B,Barking and Dagenham,1.0,0.0,21.0,0.0,14.0,6.0,45.0,3.0,1.0,15.0,13.0,45.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.45220324,0.0031051703,6.869912600000001e-07,0.0004895339,0.48049787,2.6386698e-10,5.385229e-08,0.11338102,0.0119932955,1.0,0.0,5.9761165000000004e-05,0.0010932952
E01000010,Barking and Dagenham 015C,Barking and Dagenham,4.0,6.0,34.0,5.0,107.0,15.0,110.0,21.0,0.0,32.0,28.0,110.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,0.91770667,0.61883706,0.026700126,0.9084038000000001,1.0,0.0,0.00043441462999999997,0.23572198,0.0028084076,0.9650829,0.07305862,0.83809274,0.018453252
E01000011,Barking and Dagenham 016C,Barking and Dagenham,0.0,0.0,2.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000012,Barking and Dagenham 015D,Barking and Dagenham,1.0,2.0,2.0,0.0,2.0,1.0,15.0,0.0,1.0,4.0,2.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.5671416e-06,0.11565203,0.083591565,3.215721e-06,1.0,8.226135e-05,0.25118116,0.00056850613,0.0,0.01662694,0.0056148055,0.4138361,0.0009097553
E01000013,Barking and Dagenham 013A,Barking and Dagenham,0.0,1.0,11.0,0.0,21.0,11.0,43.0,1.0,1.0,11.0,11.0,43.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.3459649e-07,0.0,0.93797415,5.294415400000001e-07,0.13820152,0.7854519,1.0337661499999999e-05,0.0033302784000000005,0.00020215235,0.009176907,1.0,0.0016931125,0.00033273463
E01000014,Barking and Dagenham 013B,Barking and Dagenham,0.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000015,Barking and Dagenham 009A,Barking and Dagenham,0.0,1.0,0.0,0.0,2.0,1.0,10.0,4.0,2.0,3.0,3.0,10.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.26360625,3.0557622e-08,4.972345400000001e-08,3.6011318e-07,0.8388094000000001,0.0,1.3559419e-10,8.281116e-06,1.8175918e-08,1.0,1.0492373600000001e-10,1.9052238e-12,2.7242864e-10
E01000016,Barking and Dagenham 009B,Barking and Dagenham,0.0,1.0,4.0,1.0,7.0,3.0,32.0,0.0,0.0,3.0,1.0,32.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,7.290805e-06,1.6076959999999998e-12,4.5097277000000005e-21,5.1880067e-12,3.211241e-06,6.2134875e-10,0.0,1.0,1.4379863e-05,9.177438e-06,6.880034000000001e-14,4.0264297e-14,0.005952379
E01000017,Barking and Dagenham 009C,Barking and Dagenham,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.54602534,0.0014389270000000002,0.00074697053,0.0,0.49635342,5.437122e-07,3.4904140000000006e-07,1.0,0.00033020767,0.021191527999999998,1.1031372e-07,0.1832599,0.08653481
E01000019,Barking and Dagenham 023A,Barking and Dagenham,0.0,6.0,0.0,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000021,Barking and Dagenham 008A,Barking and Dagenham,0.0,2.0,9.0,0.0,19.0,4.0,40.0,2.0,0.0,6.0,6.0,40.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.08950274,3.4212801e-09,1.7644664000000002e-08,2.9359e-07,0.10296183,4.0691113e-09,0.0,0.22345577,2.239312e-06,7.8250505e-06,1.0,1.0267568e-05,0.0023694417999999997
E01000023,Barking and Dagenham 008C,Barking and Dagenham,0.0,0.0,3.0,0.0,9.0,3.0,22.0,0.0,0.0,6.0,6.0,22.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.011252637,0.017385583,3.6000108e-06,5.924825999999999e-07,1.0,0.0,0.17271674,0.0018541294,1.7570720000000002e-05,0.923859,0.0403761,6.470127e-09,0.24483238
E01000024,Barking and Dagenham 008D,Barking and Dagenham,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000025,Barking and Dagenham 008E,Barking and Dagenham,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9187037,6.9817903e-09,8.2258686e-07,5.6190044e-09,0.00065957394,0.0,3.378939e-08,2.9360390000000004e-05,0.00060757005,1.0,0.1398627,1.3753426999999999e-06,0.006292794
E01000027,Barking and Dagenham 001A,Barking and Dagenham,0.0,6.0,2.0,0.0,5.0,12.0,36.0,4.0,4.0,4.0,4.0,36.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.13047853,1.2882861e-08,0.0,3.921411e-08,1.0042464e-09,1.0668851e-11,0.00010421574,2.5199775e-05,0.0006439701,0.13672061,1.1121994e-08,1.0,0.00032730834
E01000029,Barking and Dagenham 001C,Barking and Dagenham,1.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.2661489999999999e-08,0.0,1.0967226000000001e-13,2.6977771e-08,5.3937722e-12,8.387935e-10,3.5990327999999997e-05,3.7927591999999996e-07,0.0012055491,1.0,6.642923599999999e-12,1.1085345e-13,2.9164225e-12
E01000030,Barking and Dagenham 001D,Barking and Dagenham,0.0,1.0,3.0,0.0,7.0,6.0,14.0,1.0,2.0,15.0,13.0,14.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.22988856,0.0,0.04018466,0.08906462,0.43521482,0.1314381,0.00022667203,0.0023354532,0.11054738,1.0,0.022496162000000004,0.025044648,0.23246114
